ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Front,Side I,LotSF,Add#,Street
52610001200,4955 Harney Av,1,71,329,Vacant Lot,,47.5,112.5,5343.0,4955,Harney
52610001300,4959 Harney Av,1,71,329,Vacant Lot,,25.0,112.5,2812.0,4959,Harney
52610001700,4971 Harney Av,1,71,329,Vacant Lot,,25.0,112.5,2759.0,4971,Harney
52610004100,5421 N Euclid Av,1,71,329,Vacant Lot,,60.0,125.0,7499.6782495,5421,Euclid
52620004200,4922 Harney Av,1,71,329,Vacant Lot,,25.0,112.5,2813.295784,4922,Harney
54660000400,4925 Ashby Av,1,71,329,Vacant Lot,,25.0,112.06,2812.0,4925,Ashby
54660000500,4929 Ashby Av,1,71,329,Vacant Lot,,25.0,112.6,2877.0,4929,Ashby
54660000600,4931-3 Ashby Av,1,71,329,Vacant Lot,,50.0,112.5,5625.0,4931,Ashby
54660001700,4961 Ashby Av,1,71,329,Vacant Lot,,25.0,112.5,2665.0,4961,Ashby
54660004200,4918 Rosalie St,1,71,329,Vacant Lot,,25.0,112.06,2812.382434,4918,Rosalie
54670001600,4971 Leahy Av,1,71,329,Vacant Lot,,24.83,104.58,2658.4133305,4971,Leahy
54670002300,4970 Lilburn Av,1,71,329,Vacant Lot,,36.07,104.07,2759.4440005,4970,Lilburn
54670004100,5345 N Euclid Av,1,71,329,Vacant Lot,,28.0,125.0,3500.0,5345,Euclid
54670004200,5341 N Euclid Av,1,71,329,Vacant Lot,,28.0,125.0,3500.0,5341,Euclid
54670004400,5337 N Euclid Av,1,71,329,Vacant Lot,L Shaped Parcel of Vacant Ground,16.0,125.0,3280.0,5337,Euclid
54670004500,5335 N Euclid Av,1,71,329,Vacant Lot,,40.0,93.0,3242.0,5335,Euclid
54680000600,4931 Thekla Av,1,71,329,Vacant Lot,,30.0,104.58,3361.0,4931,Thekla
54680003900,4928 Leahy Av,1,71,329,Vacant Lot,,37.5,104.62,4162.0,4928,Leahy
54930003500,5471 N Euclid Av,1,71,329,Vacant Lot,,46.0,90.0,4050.0,5471,Euclid
55330004500,5217 N Euclid Av,1,71,329,Vacant Lot,,30.0,125.0,3750.0,5217,Euclid
43820500900,5135 Brown Av,1,70,340,Vacant Lot,0.034 Acres,0.0,0.0,1413.32,5135,Brown
44970000700,5154 N Norwood Dr,1,52,342,Vacant Lot,,151.22,90.0,13420.0,5154,Norwood
44970601300,5155 St Louis Av,1,52,342,Vacant Lot,,80.0,132.84,10684.0,5155,St Louis
52290301600,5045 St Louis Av,1,52,342,Vacant Lot,,25.0,133.0,3352.0,5045,St Louis
52290302000,5053-9 St Louis Av,1,52,342,Vacant Lot,,72.65,133.0,7632.0,5053,St Louis
52290400600,5116 Labadie Av,1,52,342,Vacant Lot,,42.0,133.0,5402.0,5116,Labadie
52290401500,5115 St Louis Av,1,52,342,Vacant Lot,,33.0,132.75,3054.0,5115,St Louis
52290401600,5119 St Louis Av,1,52,342,Vacant Lot,,33.0,132.9,4657.0,5119,St Louis
52300401000,5111 Labadie Av,1,52,342,Vacant Lot,,42.0,133.0,5916.0,5111,Labadie
52300401400,5125-9 Labadie Av,1,52,342,Vacant Lot,,60.0,133.0,8494.0,5125,Labadie
52310402700,5131-3 Greer Av,1,52,342,Vacant Lot,,66.0,196.0,12936.0,5131,Greer
59490000600,5201-3 Palm St,1,52,342,Vacant Lot,,75.0,125.0,9494.0,5201,Palm
59500000700,5220 Palm St,1,52,342,Vacant Lot,,42.33,125.0,4716.0,5220,Palm
59500001107,5200-4 Palm St,1,52,342,Vacant Lot,,55.0,125.0,6613.0,5200,Palm
59510001900,5219 Ashland Av,1,52,342,Vacant Lot,,42.0,125.0,5105.0,5219,Ashland
59510002400,5237 Ashland Av,1,52,342,Vacant Lot,,44.0,125.0,4900.081014,5237,Ashland
59520002107,3320-4 Union Blvd,1,52,342,Vacant Lot,,60.0,120.0,7201.0,3320,Union
61580000600,5230 Greer Av,1,52,342,Vacant Lot,,33.33,133.0,4536.758831,5230,Greer
61580000800,3000-6 Union Blvd,1,52,342,Vacant Lot,,100.0,125.0,12500.0,3000,Union
61580000900,3012-26 Union Blvd,1,52,342,Vacant Lot,,170.0,64.8,10519.0,3012,Union
61590001300,5244 Labadie Av,1,52,342,Vacant Lot,,50.0,133.0,6365.6568585,5244,Labadie
61590001450,5236-8 Labadie Av,1,52,342,Vacant Lot,,50.0,133.0,6195.8110305,5236,Labadie
61590001500,5232-4 Labadie Av,1,52,342,Vacant Lot,,50.0,133.0,6622.630743,5232,Labadie
44980000200,5258 St Louis Av,1,52,343,Vacant Lot,,41.0,142.33,5835.0,5258,St Louis
44980000600,5242 St Louis Av,1,52,343,Vacant Lot,,30.0,137.5,4125.0,5242,St Louis
44980002800,2848 Union Blvd,1,52,343,Vacant Lot,,52.8,135.0,7110.18045,2848,Union
44980002900,2852-64 Union Blvd,1,52,343,Vacant Lot,,142.04,70.0,9963.0,2852,Union
44990500800,5158 St Louis Av,1,52,343,Vacant Lot,,30.0,137.5,3995.0,5158,St Louis
44990503600,5131 Terry Av,1,52,343,Vacant Lot,,25.83,142.5,3681.0,5131,Terry
44990505100,5211 Terry Av,1,52,343,Vacant Lot,,29.0,142.5,4132.3381275,5211,Terry
44990505200,5215 Terry Av,1,52,343,Vacant Lot,,30.0,142.5,4274.762229,5215,Terry
44990600400,5210 Terry Av,1,52,343,Vacant Lot,,33.0,142.5,4702.0,5210,Terry
44990600500,5206 Terry Av,1,52,343,Vacant Lot,,27.0,142.06,3847.412008,5206,Terry
44990600600,5204 Terry Av,1,52,343,Vacant Lot,,30.0,142.67,4275.0,5204,Terry
