ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,Front,Side1,LotSF,Add#,Street,laglng,latlng
49970003300,5915-7 Lotus Av,22,50,347,Vacant Lot,,,50.0,113.0,5336.352582,5915,Lotus,"{'lat': 38.676381, 'lng': -90.281353}","{'lat': 38.676381, 'lng': -90.281353}"
49970003600,5923 Lotus Av,22,50,347,Vacant Lot,,,25.0,113.04,2825.0,5923,Lotus,"{'lat': 38.67651499999999, 'lng': -90.2816069}","{'lat': 38.67651499999999, 'lng': -90.2816069}"
49970004100,5935 Lotus Av,22,50,347,Vacant Lot,,,25.6,113.0,2744.0,5935,Lotus,"{'lat': 38.676708, 'lng': -90.28197}","{'lat': 38.676708, 'lng': -90.28197}"
49970004200,5937 Lotus Av,22,50,347,Vacant Lot,,,24.0,113.0,2686.292253,5937,Lotus,"{'lat': 38.676746, 'lng': -90.28204199999999}","{'lat': 38.676746, 'lng': -90.28204199999999}"
49970004300,5941 Lotus Av,22,50,347,Vacant Lot,,,25.5,113.08,2628.7748555,5941,Lotus,"{'lat': 38.676784, 'lng': -90.282113}","{'lat': 38.676784, 'lng': -90.282113}"
49970005600,5983-5 Lotus Av,22,50,347,Vacant Lot,,,50.0,113.05,5971.606248,5983,Lotus,"{'lat': 38.677466, 'lng': -90.283388}","{'lat': 38.677466, 'lng': -90.283388}"
49980000400,5976 Lotus Av,22,50,347,Vacant Lot,,,25.0,112.88,2960.675675,5976,Lotus,"{'lat': 38.676949, 'lng': -90.28344799999999}","{'lat': 38.676949, 'lng': -90.28344799999999}"
49980001000,5958 Lotus Av,22,50,347,Vacant Lot,,,25.0,112.83,2822.0,5958,Lotus,"{'lat': 38.676678, 'lng': -90.2829409}","{'lat': 38.676678, 'lng': -90.2829409}"
49980001100,5956 Lotus Av,22,50,347,Vacant Lot,,,25.0,112.1,2841.8557225,5956,Lotus,"{'lat': 38.6767034, 'lng': -90.2828184}","{'lat': 38.6767034, 'lng': -90.2828184}"
49980001200,5950-2 Lotus Av,22,50,347,Vacant Lot,,,50.0,112.92,5967.551043,5950,Lotus,"{'lat': 38.676583, 'lng': -90.282763}","{'lat': 38.676583, 'lng': -90.282763}"
49980001600,5938 Lotus Av,22,50,347,Vacant Lot,,,30.0,112.92,3494.263479500001,5938,Lotus,"{'lat': 38.676397, 'lng': -90.282415}","{'lat': 38.676397, 'lng': -90.282415}"
49980001700,5934-6 Lotus Av,22,50,347,Vacant Lot,,,39.75,112.88,4832.249800500002,5934,Lotus,"{'lat': 38.676345, 'lng': -90.282315}","{'lat': 38.676345, 'lng': -90.282315}"
49980001800,5930-2 Lotus Av,22,50,347,Vacant Lot,,,39.5,112.92,4842.3216244999985,5930,Lotus,"{'lat': 38.676284, 'lng': -90.2821979}","{'lat': 38.676284, 'lng': -90.2821979}"
49980001900,5926-8 Lotus Av,22,50,347,Vacant Lot,,,40.75,112.92,4751.0,5926,Lotus,"{'lat': 38.676223, 'lng': -90.282082}","{'lat': 38.676223, 'lng': -90.282082}"
49980002900,1917 Hamilton Av,22,50,347,Vacant Lot,,,58.2,52.31,3342.9954285,1917,Hamilton,"{'lat': 38.675755, 'lng': -90.2813649}","{'lat': 38.675755, 'lng': -90.2813649}"
49980003000,5901 Cote Brilliante Av,22,50,347,Vacant Lot,,,32.0,113.25,2912.1491475000007,5901,Cote Brilliante,"{'lat': 38.675483, 'lng': -90.281508}","{'lat': 38.675483, 'lng': -90.281508}"
49980003100,5903 Cote Brilliante Av,22,50,347,Vacant Lot,,,28.0,112.83,3374.225343,5903,Cote Brilliante,"{'lat': 38.675534, 'lng': -90.28158499999999}","{'lat': 38.675534, 'lng': -90.28158499999999}"
49980003700,5929-31 Cote Brilliante Av,22,50,347,Vacant Lot,,,50.0,112.83,5635.7253635,5929,Cote Brilliante,"{'lat': 38.67591, 'lng': -90.282298}","{'lat': 38.67591, 'lng': -90.282298}"
49980004600,5963 Cote Brilliante Av,22,50,347,Vacant Lot,,,50.0,112.83,5614.0,5963,Cote Brilliante,"{'lat': 38.676412, 'lng': -90.283244}","{'lat': 38.676412, 'lng': -90.283244}"
49980005000,5973 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,112.1,2711.516203,5973,Cote Brilliante,"{'lat': 38.676584, 'lng': -90.283565}","{'lat': 38.676584, 'lng': -90.283565}"
49980005200,5979 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,112.9,2683.0,5979,Cote Brilliante,"{'lat': 38.676661, 'lng': -90.28371}","{'lat': 38.676661, 'lng': -90.28371}"
49980005300,5981 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,112.83,2822.0,5981,Cote Brilliante,"{'lat': 38.676699, 'lng': -90.283782}","{'lat': 38.676699, 'lng': -90.283782}"
49980005400,5983 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,112.83,2851.2019210000008,5983,Cote Brilliante,"{'lat': 38.676739, 'lng': -90.283856}","{'lat': 38.676739, 'lng': -90.283856}"
49980005500,5985 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,112.83,3260.619838,5985,Cote Brilliante,"{'lat': 38.676787, 'lng': -90.283931}","{'lat': 38.676787, 'lng': -90.283931}"
49990002300,5910 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,114.33,2959.0,5910,Cote Brilliante,"{'lat': 38.6752976, 'lng': -90.2820607}","{'lat': 38.6752976, 'lng': -90.2820607}"
49990002400,5908 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,114.83,2850.0,5908,Cote Brilliante,"{'lat': 38.675215, 'lng': -90.28201}","{'lat': 38.675215, 'lng': -90.28201}"
49990002500,5906 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.0,114.42,3081.0,5906,Cote Brilliante,"{'lat': 38.675177, 'lng': -90.281937}","{'lat': 38.675177, 'lng': -90.281937}"
49990002600,5902 Cote Brilliante Av,22,50,347,Vacant Lot,,,25.17,114.38,2945.0,5902,Cote Brilliante,"{'lat': 38.6751379, 'lng': -90.28186199999999}","{'lat': 38.6751379, 'lng': -90.28186199999999}"
49990002700,5900 Cote Brilliante Av,22,50,347,Vacant Lot,,,22.0,78.7,1957.0,5900,Cote Brilliante,"{'lat': 38.67514, 'lng': -90.28175399999999}","{'lat': 38.67514, 'lng': -90.28175399999999}"
49990002800,5901-3 Theodosia Av,22,50,347,Vacant Lot,,,43.1,114.0,4375.0,5901,Theodosia,"{'lat': 38.674791, 'lng': -90.282032}","{'lat': 38.674791, 'lng': -90.282032}"
49990002900,5905 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.45,2942.0,5905,Theodosia,"{'lat': 38.674843, 'lng': -90.282118}","{'lat': 38.674843, 'lng': -90.282118}"
49990003000,5907 Theodosia Av,22,50,347,Vacant Lot,,,50.0,114.42,5845.0,5907,Theodosia,"{'lat': 38.6749, 'lng': -90.28222699999999}","{'lat': 38.6749, 'lng': -90.28222699999999}"
49990003100,5913 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.04,2910.0,5913,Theodosia,"{'lat': 38.674957, 'lng': -90.282336}","{'lat': 38.674957, 'lng': -90.282336}"
49990003900,5935-41 Theodosia Av,22,50,347,Vacant Lot,,,75.0,114.4,8534.0,5935,Theodosia,"{'lat': 38.675342, 'lng': -90.283057}","{'lat': 38.675342, 'lng': -90.283057}"
49990004300,5949 Theodosia Av,22,50,347,Vacant Lot,,,33.33,114.33,3824.0,5949,Theodosia,"{'lat': 38.67550600000001, 'lng': -90.28336}","{'lat': 38.67550600000001, 'lng': -90.28336}"
49990004500,5955 Theodosia Av,22,50,347,Vacant Lot,,,33.33,114.33,3868.0,5955,Theodosia,"{'lat': 38.67561, 'lng': -90.283554}","{'lat': 38.67561, 'lng': -90.283554}"
49990004700,5961 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.38,2802.0,5961,Theodosia,"{'lat': 38.67569599999999, 'lng': -90.283711}","{'lat': 38.67569599999999, 'lng': -90.283711}"
49990004800,5963 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.0,2904.8340845,5963,Theodosia,"{'lat': 38.675734, 'lng': -90.283783}","{'lat': 38.675734, 'lng': -90.283783}"
49990004900,5965 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.4,3033.0,5965,Theodosia,"{'lat': 38.675775, 'lng': -90.283858}","{'lat': 38.675775, 'lng': -90.283858}"
49990005000,5969 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.33,2661.0,5969,Theodosia,"{'lat': 38.675814, 'lng': -90.28393}","{'lat': 38.675814, 'lng': -90.28393}"
49990005100,5971 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.33,2835.0,5971,Theodosia,"{'lat': 38.675851, 'lng': -90.28399999999999}","{'lat': 38.675851, 'lng': -90.28399999999999}"
49990005200,5973-7 Theodosia Av,22,50,347,Vacant Lot,,,53.0,114.33,6079.0,5973,Theodosia,"{'lat': 38.6759119, 'lng': -90.2841119}","{'lat': 38.6759119, 'lng': -90.2841119}"
