Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
44770201800,4766 Northland Av,4,55,308,Residential,1 Story Brick Residence,,,25.0,123.0,3460.0,4766,Northland
44770203000,4732 Northland Av,4,55,308,Residential,2.5 Story Brick Residence,,,30.0,123.03,3690.0,4732,Northland
44770204400,4715 Cupples Pl,4,55,308,Residential,2 Story Brick Residence,,,20.0,106.83,2857.0,4715,Cupples
44770204500,4717 Cupples Pl,4,55,308,Residential,2 Story Brick Residence,,,32.0,106.83,3420.0,4717,Cupples
44770205300,4753 Cupples Pl,4,55,308,Residential,2 Story Brick Residence,,,40.0,107.2,4011.0,4753,Cupples
44771100400,4812 Cupples Pl,4,55,308,Residential,1 Story Brick Residence,,,26.66,115.0,3070.0,4812,Cupples
44771102400,4726 Cupples Pl,4,55,308,Residential,1 Story Brick Residence,,,40.0,115.0,4600.0,4726,Cupples
44780000100,4832 Maffitt Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2146.0,31.29,133.32,3794.0,4832,Maffitt
44780000800,4816 Maffitt Av,4,55,308,Residential,1 Story Brick Residence,,990.0,25.0,133.0,3325.0,4816,Maffitt
44780001000,4810 Maffitt Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2024.0,30.0,133.66,3578.0,4810,Maffitt
44780001100,4808 Maffitt Av,4,55,308,Residential,2 Story Brick Two Family Flat **,,1632.0,20.0,133.0,3031.0,4808,Maffitt
44780001600,4772 Maffitt Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2244.0,25.0,133.25,2839.0,4772,Maffitt
44780002100,4758 Maffitt Av,4,55,308,Residential,2 Story Brick Residence,,2070.0,33.33,133.0,4428.0,4758,Maffitt
44780002200,4754 Maffitt Av,4,55,308,Residential,2 Story Brick Two Family Flat,,1848.0,33.33,133.0,4615.0,4754,Maffitt
44780005400,4747 Northland Av,4,55,308,Residential,2 Story Brick Residence,,1496.0,24.0,133.0,3192.0,4747,Northland
44780005500,4749 Northland Av,4,55,308,Residential,2 Story Brick Residence,,1496.0,24.0,133.0,3019.0,4749,Northland
44780005800,4757 Northland Av,4,55,308,Residential,1 Story Brick Residence,,990.0,25.0,133.42,3106.0,4757,Northland
44780006000,4761 Northland Av,4,55,308,Residential,1 Story Brick Residence,,990.0,25.0,133.0,3156.0,4761,Northland
44780006100,4763 Northland Av,4,55,308,Residential,1 Story Brick Residence,,1078.0,25.0,133.0,3466.0,4763,Northland
44780006500,4803 Northland Av,4,55,308,Residential,2 Story Brick Residence,,1496.0,25.0,133.0,3503.0,4803,Northland
44780007000,4813 Northland Av,4,55,308,Residential,2 Story Brick Residence,,1496.0,25.0,133.0,2823.0,4813,Northland
44840600800,4852 St Louis Av,4,55,308,Residential,2 Story Brick Residence,,,25.0,95.0,3402.0,4852,St Louis
