ParcelID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
56300001300,600 Logan St,2,74,336,Residential,1 Story Frame Residence,816,41.0,127.5,6702.0,600,Logan,"{'lat': 38.7241024, 'lng': -90.2260234}","{'lat': 38.7241024, 'lng': -90.2260234}"
23900000300,3642 Hebert St,3,59,310,Residential,1 Story Brick Residence,1074,25.0,162.18,3921.0,3642,Hebert,"{'lat': 38.6597109, 'lng': -90.219694}","{'lat': 38.6597109, 'lng': -90.219694}"
23910002000,3641 Hebert St,3,59,310,Residential,1 Story Brick Residence,967,25.0,162.0,3913.0,3641,Hebert,"{'lat': 38.6600601, 'lng': -90.219445}","{'lat': 38.6600601, 'lng': -90.219445}"
24870001800,4246 Gano Av,3,67,311,Residential,1 Story Brick Residence,1089,25.0,107.5,2806.0,4246,Gano,"{'lat': 38.6690107, 'lng': -90.2147222}","{'lat': 38.6690107, 'lng': -90.2147222}"
24880000300,3736 Penrose St,3,67,311,Residential,1 Story Frame Residence,603,35.0,102.58,3428.0,3736,Penrose,"{'lat': 38.6676164, 'lng': -90.2156119}","{'lat': 38.6676164, 'lng': -90.2156119}"
33540001200,4230 Desoto Av,3,67,311,Residential,1 Story Brick Residence,943,25.0,120.0,2909.0,4230,Desoto,"{'lat': 38.6695242, 'lng': -90.21709299999999}","{'lat': 38.6695242, 'lng': -90.21709299999999}"
33540002800,4241 Prairie Av,3,67,311,Residential,2 Story Frame Residence,1286,20.0,120.0,2325.0,4241,Prairie,"{'lat': 38.6695056, 'lng': -90.21631099999999}","{'lat': 38.6695056, 'lng': -90.21631099999999}"
33540003400,4227 Prairie Av,3,67,311,Residential,2 Story Brick Residence,1302,50.0,120.0,6025.0,4227,Prairie,"{'lat': 38.6691785, 'lng': -90.2165985}","{'lat': 38.6691785, 'lng': -90.2165985}"
33540003600,4219 Prairie Av,3,67,311,Residential,1 Story Brick Residence,666,25.0,120.0,2787.0,4219,Prairie,"{'lat': 38.6689966, 'lng': -90.21668179999999}","{'lat': 38.6689966, 'lng': -90.21668179999999}"
33560003100,4349 Desoto Av,3,67,311,Residential,1 Story Frame Residence,834,25.0,120.0,3000.0,4349,Desoto,"{'lat': 38.6716369, 'lng': -90.2158449}","{'lat': 38.6716369, 'lng': -90.2158449}"
33940002800,4347 Linton Av,3,67,311,Residential,1 Story Brick Residence,720,25.0,120.0,3000.0,4347,Linton,"{'lat': 38.6719816, 'lng': -90.2168732}","{'lat': 38.6719816, 'lng': -90.2168732}"
33940003000,4341 Linton Av,3,67,311,Residential,1 Story Brick Residence,1146,25.0,120.0,2764.0,4341,Linton,"{'lat': 38.6718645, 'lng': -90.2169833}","{'lat': 38.6718645, 'lng': -90.2169833}"
35780001000,3810 Penrose St,3,67,311,Residential,2 Story Frame Residence,1414,25.0,108.0,2700.0,3810,Penrose,"{'lat': 38.6684892, 'lng': -90.2176333}","{'lat': 38.6684892, 'lng': -90.2176333}"
35870006400,3917 Sherman Pl,3,67,311,Residential,1 Story Brick Residence,799,25.0,110.0,2726.0,3917,Sherman,"{'lat': 38.6682794, 'lng': -90.2203443}","{'lat': 38.6682794, 'lng': -90.2203443}"
24740000700,1532 John Av,3,66,312,Residential,3 Story Brick Residence,1496,29.0,110.0,3070.0,1532,John,"{'lat': 38.6722573, 'lng': -90.20879959999999}","{'lat': 38.6722573, 'lng': -90.20879959999999}"
24760000500,2034 Gano Av,3,66,312,Residential,1 Story Brick Residence,774,25.0,110.0,2750.0,2034,Gano,"{'lat': 38.6719097, 'lng': -90.2113602}","{'lat': 38.6719097, 'lng': -90.2113602}"
33080000200,2144 E Prairie Av,3,66,312,Residential,1.5 Story Brick Residence,833,50.0,112.15,5139.0,2144,Prairie,"{'lat': 38.6715738, 'lng': -90.2137417}","{'lat': 38.6715738, 'lng': -90.2137417}"
33080001800,2115 Gano Av,3,66,312,Residential,2 Story Frame Residence,1134,25.0,112.5,2813.0,2115,Gano,"{'lat': 38.6716328, 'lng': -90.2126787}","{'lat': 38.6716328, 'lng': -90.2126787}"
33090003200,2041 Gano Av,3,66,312,Residential,1 Story Brick Residence,1065,25.0,112.51,2812.0,2041,Gano,"{'lat': 38.6721136, 'lng': -90.2118364}","{'lat': 38.6721136, 'lng': -90.2118364}"
33100001200,1826 E Prairie Av,3,66,312,Residential,1 Story Brick Residence,990,25.0,112.5,2658.0,1826,Prairie,"{'lat': 38.6737143, 'lng': -90.2097853}","{'lat': 38.6737143, 'lng': -90.2097853}"
33520000200,2132 Desoto Av,3,66,312,Residential,2 Story Frame Residence,960,25.0,108.0,2721.0,2132,Desoto,"{'lat': 38.6721697, 'lng': -90.2145604}","{'lat': 38.6721697, 'lng': -90.2145604}"
