ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
24320000700,4320 Strodtman Pl,3,66,313,Residential,1 Story Brick Residence,,640.0,25.0,117.5,2937.0,4320,Strodtman,"{'lat': 38.6678877, 'lng': -90.20783139999999}","{'lat': 38.6678877, 'lng': -90.20783139999999}"
24320000800,4322 Strodtman Pl,3,66,313,Residential,2 Story Brick Residence,,1734.0,25.0,117.5,2937.0,4322,Strodtman,"{'lat': 38.6679847, 'lng': -90.2077989}","{'lat': 38.6679847, 'lng': -90.2077989}"
24320001400,4404-6 Strodtman Pl,3,66,313,Residential,2 Story Brick Two Family Flat,,2562.0,35.0,117.5,4112.0,4404,Strodtman,"{'lat': 38.6685123, 'lng': -90.2081582}","{'lat': 38.6685123, 'lng': -90.2081582}"
24320001700,4414-6 Strodtman Pl,3,66,313,Residential,2 Story Brick Four Family Flat,,4966.0,48.95,117.5,5676.0,4414,Strodtman,"{'lat': 38.668826, 'lng': -90.208226}","{'lat': 38.668826, 'lng': -90.208226}"
24320002601,4429 N 20th St,3,66,313,Residential,2 Story Brick Residence,,1738.0,24.96,117.5,3202.0,4429,20th,"{'lat': 38.6692449, 'lng': -90.20795799999999}","{'lat': 38.6692449, 'lng': -90.20795799999999}"
24320002700,4427 N 20th St,3,66,313,Residential,2 Story Brick Residence,,1724.0,50.0,117.5,5984.0,4427,20th,"{'lat': 38.669222, 'lng': -90.2078511}","{'lat': 38.669222, 'lng': -90.2078511}"
24320003000,4415 N 20th St,3,66,313,Residential,2 Story Brick Residence,,2200.0,25.0,117.5,2909.0,4415,20th,"{'lat': 38.668866, 'lng': -90.20774999999999}","{'lat': 38.668866, 'lng': -90.20774999999999}"
24330000400,4306 N Florissant Av,3,66,313,Residential,2 Story Brick Residence,,1534.0,16.05,133.03,1857.0,4306,Florissant,"{'lat': 38.6671831, 'lng': -90.20852269999999}","{'lat': 38.6671831, 'lng': -90.20852269999999}"
24330000500,4308 N Florissant Av,3,66,313,Residential,2 Story Brick Four Family Flat,,3164.0,33.58,122.27,3622.0,4308,Florissant,"{'lat': 38.6672455, 'lng': -90.20855759999999}","{'lat': 38.6672455, 'lng': -90.20855759999999}"
24330001600,4427 Strodtman Pl,3,66,313,Residential,2 Story Brick Residence,,2772.0,41.92,120.0,3480.0,4427,Strodtman,"{'lat': 38.6688634, 'lng': -90.2089163}","{'lat': 38.6688634, 'lng': -90.2089163}"
24330002000,4413 Strodtman Pl,3,66,313,Residential,2 Story Brick Residence,,2200.0,35.0,120.0,4132.0,4413,Strodtman,"{'lat': 38.6685565, 'lng': -90.2087231}","{'lat': 38.6685565, 'lng': -90.2087231}"
24330002500,4333 Strodtman Pl,3,66,313,Residential,3 Story Brick Residence,,2286.0,25.0,120.0,3000.0,4333,Strodtman,"{'lat': 38.6680511, 'lng': -90.2084265}","{'lat': 38.6680511, 'lng': -90.2084265}"
24330003400,4307 Strodtman Pl,3,66,313,Residential,3 Story Brick Residence,,2114.0,30.0,120.0,3423.0,4307,Strodtman,"{'lat': 38.6673479, 'lng': -90.208097}","{'lat': 38.6673479, 'lng': -90.208097}"
24330003800,4311 Strodtman Pl,3,66,313,Residential,2 Story Brick Two Family Flat,,2174.0,25.0,120.0,3017.0,4311,Strodtman,"{'lat': 38.6674884, 'lng': -90.208136}","{'lat': 38.6674884, 'lng': -90.208136}"
24350001000,4234 N Florissant Av,3,65,313,Residential,1.5 Story Brick Residence,,841.0,25.0,105.0,2625.0,4234,Florissant,"{'lat': 38.66601319999999, 'lng': -90.2080435}","{'lat': 38.66601319999999, 'lng': -90.2080435}"
24350004900,2115 Penrose St,3,65,313,Residential,Half of a 2 Story Brick Four Family Flat,,1998.0,18.63,112.04,2087.0,2115,Penrose,"{'lat': 38.665316, 'lng': -90.20741199999999}","{'lat': 38.665316, 'lng': -90.20741199999999}"
24350005000,2117 Penrose St,3,65,313,Residential,Half of a 2 Story Brick Four Family Flat,,1998.0,23.13,112.0,3382.0,2117,Penrose,"{'lat': 38.665311, 'lng': -90.20753599999999}","{'lat': 38.665311, 'lng': -90.20753599999999}"
24350005100,2119-21 Penrose St,3,65,313,Residential,2 Story Brick Four Family Flat,,3868.0,40.0,100.0,3942.0,2119,Penrose,"{'lat': 38.6651826, 'lng': -90.2075474}","{'lat': 38.6651826, 'lng': -90.2075474}"
24360000900,4248 N 21st St,3,65,313,Residential,1 Story Brick Residence,,850.0,25.0,136.75,3352.17,4248,21st,"{'lat': 38.6666386, 'lng': -90.2071288}","{'lat': 38.6666386, 'lng': -90.2071288}"
24360002200,4243 N 20th St,3,65,313,Residential,2 Story Brick Two Family Flat,,2450.0,40.0,136.75,5576.0,4243,20th,"{'lat': 38.6667075, 'lng': -90.20646149999999}","{'lat': 38.6667075, 'lng': -90.20646149999999}"
24370502500,1913 Farragut St,3,65,313,Residential,2 Story Brick Residence,,,21.83,62.87,1377.0,1913,Farragut,"{'lat': 38.6666967, 'lng': -90.205508}","{'lat': 38.6666967, 'lng': -90.205508}"
24370502600,1917 Farragut St,3,65,313,Residential,1 Story Brick Residence,,,33.79,80.25,2722.0,1917,Farragut,"{'lat': 38.6666679, 'lng': -90.2056558}","{'lat': 38.6666679, 'lng': -90.2056558}"
24370502700,1919 Farragut St,3,65,313,Residential,1 Story Brick Residence,,,33.8,80.25,2710.0,1919,Farragut,"{'lat': 38.6666268, 'lng': -90.2057657}","{'lat': 38.6666268, 'lng': -90.2057657}"
24380502700,1511 Farragut St,3,65,313,Residential,1 Story Frame Residence,,,22.0,99.0,2178.0,1511,Farragut,"{'lat': 38.6670899, 'lng': -90.2043832}","{'lat': 38.6670899, 'lng': -90.2043832}"
24380600900,1509-11 Penrose St,3,65,313,Residential,3 Story Brick Four Family Flat,,2882.0,40.0,120.0,4686.0,1509,Penrose,"{'lat': 38.666474, 'lng': -90.203948}","{'lat': 38.666474, 'lng': -90.203948}"
24390500200,4232 Blair Av,3,65,313,Residential,2 Story Brick Residence **,,,25.0,180.92,4748.0,4232,Blair,"{'lat': 38.667412, 'lng': -90.20351699999999}","{'lat': 38.667412, 'lng': -90.20351699999999}"
24390501400,4264-6 Blair Av,3,65,313,Residential,2 Story Brick Residence,,,47.15,90.0,3908.0,4264,Blair,"{'lat': 38.6681858, 'lng': -90.20415430000001}","{'lat': 38.6681858, 'lng': -90.20415430000001}"
24390501700,1410 Ferry St,3,65,313,Residential,2 Story Brick Two Family Flat,,,28.5,135.42,3257.0,1410,Ferry,"{'lat': 38.6682752, 'lng': -90.2033819}","{'lat': 38.6682752, 'lng': -90.2033819}"
24390501800,1408 Ferry St,3,65,313,Residential,2 Story Brick Residence,,,28.5,112.08,3182.0,1408,Ferry,"{'lat': 38.6683075, 'lng': -90.2033046}","{'lat': 38.6683075, 'lng': -90.2033046}"
24390602200,1427 Penrose St,3,65,313,Residential,2.5 Story Brick Residence,,2342.0,30.0,120.0,3602.0,1427,Penrose,"{'lat': 38.6667084, 'lng': -90.2030453}","{'lat': 38.6667084, 'lng': -90.2030453}"
24400000500,4242 Randall Pl,3,65,313,Residential,2 Story Brick Two Family Flat,,1982.0,37.0,130.37,5474.0,4242,Randall,"{'lat': 38.6680968, 'lng': -90.2023141}","{'lat': 38.6680968, 'lng': -90.2023141}"
24420000300,4306-8 Blair Av,3,66,313,Residential,2 Story Brick Residence,,3232.0,50.0,186.9,9045.0,4306,Blair,"{'lat': 38.6686283, 'lng': -90.2043133}","{'lat': 38.6686283, 'lng': -90.2043133}"
24420000900,4328 Blair Av,3,66,313,Residential,2 Story Brick Residence,,1562.0,25.0,186.83,4681.0,4328,Blair,"{'lat': 38.669173, 'lng': -90.20448999999999}","{'lat': 38.669173, 'lng': -90.20448999999999}"
24420001400,4406 Blair Av,3,66,313,Residential,2 Story Brick Residence,6000.0,1556.0,25.0,186.9,4562.0,4406,Blair,"{'lat': 38.6695845, 'lng': -90.2048803}","{'lat': 38.6695845, 'lng': -90.2048803}"
24420004400,4309 Randall Pl,3,66,313,Residential,2 Story Frame Residence,,1209.0,25.0,127.5,2830.0,4309,Randall,"{'lat': 38.668702, 'lng': -90.2032359}","{'lat': 38.668702, 'lng': -90.2032359}"
24430000700,4318 19th St,3,66,313,Residential,2 Story Brick Two Family Flat,,1936.0,25.0,130.0,3242.0,4318,19th,"{'lat': 38.6685209, 'lng': -90.20568329999999}","{'lat': 38.6685209, 'lng': -90.20568329999999}"
24430000800,4320 19th St,3,66,313,Residential,1 Story Brick Residence,,850.0,25.0,130.0,3264.0,4320,19th,"{'lat': 38.6685845, 'lng': -90.2057066}","{'lat': 38.6685845, 'lng': -90.2057066}"
